chainage_m,x_m,y_m,lon,lat,elevation_m,elevation_smooth_m,dem_source
0.0,352176.0515190147,6355662.728339892,25.41894875717461,-32.927308852393274,709.0,709.5,OpenTopoData srtm30m
30.000000000241656,352196.158176979,6355684.993162045,25.419167308245953,-32.92711080962067,710.0,710.0,OpenTopoData srtm30m
59.999999999792124,352216.2648349433,6355707.257984198,25.419385858340448,-32.92691276643016,710.0,710.0,OpenTopoData srtm30m
82.94150197832404,352239.0558609135,6355704.634694611,25.41962911777958,-32.92693950295961,711.0,711.0,OpenTopoData srtm30m
112.94150197817586,352263.44771103683,6355687.169367601,25.4198871138161,-32.92710028674087,711.0,711.0,OpenTopoData srtm30m
142.9415019780277,352287.8395611602,6355669.704040592,25.420145110796703,-32.92726107001358,710.0,710.0,OpenTopoData srtm30m
170.81525042912574,352296.2641643315,6355643.133908599,25.420230927588033,-32.927501792891846,710.0,710.0,OpenTopoData srtm30m
199.53001289527833,352306.3536473079,6355616.250086014,25.420334495493595,-32.92774556932189,709.0,709.0,OpenTopoData srtm30m
229.53001289568385,352325.13123492897,6355592.8534579845,25.420531516586077,-32.927959075760285,707.0,707.0,OpenTopoData srtm30m
259.53001289536303,352343.90882255003,6355569.456829956,25.42072853861691,-32.92817258190954,707.0,707.0,OpenTopoData srtm30m
289.53001289576855,352362.6864101711,6355546.060201926,25.42092556158611,-32.928386087769674,706.0,706.0,OpenTopoData srtm30m
319.5300128954477,352381.46399779216,6355522.663573897,25.42112258549368,-32.92859959334067,706.0,706.0,OpenTopoData srtm30m
349.5300128958168,352400.24158541317,6355499.266945868,25.42131961033964,-32.92881309862253,707.0,707.0,OpenTopoData srtm30m
379.53001289549604,352419.01917303423,6355475.870317839,25.421516636124,-32.92902660361523,707.0,707.0,OpenTopoData srtm30m
406.97320725196204,352432.6688606583,6355452.062442162,25.421658768339487,-32.929243123982296,707.0,707.0,OpenTopoData srtm30m
433.3559966678652,352411.82834546716,6355435.884540446,25.42143334560097,-32.92938618588786,707.0,707.0,OpenTopoData srtm30m
461.05689803128615,352386.3944416008,6355424.909274141,25.4211596419627,-32.929481714380735,707.0,707.0,OpenTopoData srtm30m
491.05689803167314,352366.1151155704,6355402.801607241,25.420939268094166,-32.92967832011706,706.0,707.0,OpenTopoData srtm30m
520.9621172142452,352349.99993445433,6355377.609880981,25.420762923289075,-32.929903297278884,707.0,707.0,OpenTopoData srtm30m
549.5573146024597,352346.47955432575,6355349.232209522,25.420720734699284,-32.93015870416745,707.0,707.0,OpenTopoData srtm30m
579.5573146024007,352349.67197812756,6355319.402552631,25.420750088853598,-32.93042811085683,708.0,708.0,OpenTopoData srtm30m
609.5573146023416,352352.8644019294,6355289.572895739,25.4207794431515,-32.9306975175335,708.0,708.0,OpenTopoData srtm30m
639.4034946146606,352362.4324678855,6355261.301946424,25.42087721844423,-32.93095373086358,708.0,708.0,OpenTopoData srtm30m
669.4034946147608,352373.3629624518,6355233.364081643,25.42098961535125,-32.93120712478892,707.0,707.0,OpenTopoData srtm30m
698.9438489193609,352375.4534262867,6355203.897787451,25.421007246064985,-32.931473106047015,707.0,707.0,OpenTopoData srtm30m
728.9438489194754,352374.5378945799,6355173.911760677,25.420992651905706,-32.93174336755244,706.0,706.0,OpenTopoData srtm30m
758.9438489195882,352373.6223628731,6355143.9257339025,25.42097805762273,-32.932013629042224,705.0,705.0,OpenTopoData srtm30m
788.9012679549709,352397.0227186635,6355125.220913557,25.42122527035275,-32.932185453032425,705.0,705.0,OpenTopoData srtm30m
817.0301908486608,352423.0663121882,6355114.592294669,25.421502040839204,-32.93228481018396,705.0,705.0,OpenTopoData srtm30m
