dam_idx,water_start_idx,crest_elevation_m,ponded_length_m,mean_centreline_depth_m,max_centreline_depth_m,upstream_bed_rise_m,dam_chainage_m,lon,lat,bed_elevation_m
174,116,693.5,1734.2352039392154,3.453567350764302,7.5,1.0,5155.925804130925,25.444471670296064,-32.93404529947786,692.0
173,116,694.5,1704.2352039392426,4.496757997426643,8.5,0.0,5125.925804130952,25.44416011248799,-32.933980752899075,693.0
172,116,694.5,1674.2352039392135,4.5504557931194825,8.5,0.0,5095.925804130923,25.44384855516331,-32.93391620555603,693.0
242,186,685.5,1662.9175719664036,4.760159012098628,9.5,1.0,7178.714759786581,25.455947329118818,-32.94341369941597,684.0
241,186,685.5,1633.0906193289948,4.8197029267432665,9.5,1.0,7148.887807149173,25.456231668127142,-32.94329175245835,684.0
404,350,660.5,1617.211063535833,8.315826332809632,13.5,0.0,12020.31374631209,25.465309941415633,-32.95739905778582,659.0
403,350,660.5,1587.483113800752,8.443462677954551,13.5,0.0,11990.585796577008,25.46504691425549,-32.957248388836426,659.0
402,355,657.5,1407.5194993813657,6.139444510531629,10.5,0.0,11960.585796577117,25.464732207751744,-32.95719545700252,656.0
401,364,654.5,1108.411526327076,4.0270979502316795,7.5,1.0,11931.275940224721,25.46441872034299,-32.95719131867996,653.0
171,135,692.5,1076.0021320272863,3.8426378313838017,6.5,1.0,5065.957785252328,25.4435337691092,-32.93386548891711,691.0
170,135,692.5,1046.0021320273836,3.9098261599630844,6.5,1.0,5035.957785252425,25.443216448926226,-32.93382562726735,691.0
169,137,691.5,956.0093562686079,3.16804887660449,5.5,1.0,5005.957785252342,25.44289912906111,-32.93378576481968,690.0
483,452,639.5,928.1090093461662,2.805286227193236,6.5,1.0,14386.50521944269,25.47632693719492,-32.97212193441694,638.0
482,452,639.5,898.1091912264656,2.848887105340883,6.5,1.0,14356.50540132299,25.476249322600868,-32.97185942052783,638.0
481,452,639.5,868.1091912262473,2.895501763461666,6.5,1.0,14326.505401322771,25.476169622371465,-32.97159734938081,638.0
61,32,705.5,857.931667952731,1.7566187553128412,3.5,1.0,1785.9794894019637,25.426229521460236,-32.9329255354137,704.0
349,321,662.5,835.9993447727993,1.3037022355313599,2.5,1.0,10373.102682775954,25.451969391703976,-32.966184950190204,661.0
